row_id,game_id,ply,orientation,pre_flaw_fen,push_move_uci,pv,san_line,motif,motif_name,depth,solver_color,eval_at_firing,label,rationale,board_url,analysis_url
0001,1430309,14,allowed,r1bqr1k1/pppnppbp/3p1np1/8/3P1B2/2PBPN2/PP3PPP/RN1Q1RK1 w - - 5 8,a2a4,e7e5 f4g5 e5e4 d3c2 e4f3 d1f3 h7h6 g5h4 d7f8 b1d2 d6d5 f3d1,e5 Bg5 [e4] Bc2 exf3 Qxf3 h6 Bh4 Nf8 Nd2 d5 Qd1,1,fork,2,black,344,real,Solver is winning (344cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/r1bqr1k1/pppnppbp/3p1np1/8/3P1B2/2PBPN2/PP3PPP/RN1Q1RK1_w_-_-_5_8,https://flawchess.com/analysis?game_id=1430309&ply=14
0002,2377178,58,allowed,5r1r/2kbn3/pp3b2/3ppP2/7p/1NPP2PP/PP2N1BK/3R1R2 w - - 2 30,b3d2,e7f5 g3g4 f5e3 h2h1 e3f1 d1f1 f6g5 d2f3 g5e3 f1d1 c7d6 d1e1,Nxf5 g4 [Ne3] Kh1 Nxf1 Rxf1 Bg5 Nf3 Be3 Rd1 Kd6 Re1,1,fork,2,black,246,real,Solver is winning (246cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/5r1r/2kbn3/pp3b2/3ppP2/7p/1NPP2PP/PP2N1BK/3R1R2_w_-_-_2_30,https://flawchess.com/analysis?game_id=2377178&ply=58
0003,2233155,69,missed,Q2r1r2/p1k4p/1q6/4p3/8/1PN5/P1P3PP/3R3K w - - 3 35,d1d8,f8f1,[Rf1#],7,back-rank-mate,0,black,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/Q2r1r2/p1k4p/1q6/4p3/8/1PN5/P1P3PP/3R3K_w_-_-_3_35,https://flawchess.com/analysis?game_id=2233155&ply=68
0004,1222786,55,allowed,3r1rk1/1p3pp1/pqp1p1bp/4P3/2Q2n2/1P3B1P/P4PP1/2RRB1K1 b - - 5 28,b6b5,c4f4 d8d3 d1d3 b5d3 e1a5 d3b5 a5b4 f8d8 b4d6 b5d3 c1d1 d3c2,[Qxf4] Rd3 Rxd3 Qxd3 Ba5 Qb5 Bb4 Rd8 Bd6 Qd3 Rd1 Qc2,2,hanging-piece,0,white,451,real,Solver is winning (451cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/3r1rk1/1p3pp1/pqp1p1bp/4P3/2Q2n2/1P3B1P/P4PP1/2RRB1K1_b_-_-_5_28,https://flawchess.com/analysis?game_id=1222786&ply=55
0005,475348,28,allowed,rn2kb2/pp2p1p1/2pp1pr1/7p/B2PP3/2NQ3q/PPP2P1N/R4RK1 w q - 2 15,h2g4,g6g4 d3g3 g4g3 f2g3 h3g3 g1h1 b8d7 a4b3 g3h3 h1g1 g7g6 f1f2,[Rxg4+] Qg3 Rxg3+ fxg3 Qxg3+ Kh1 Nd7 Bb3 Qh3+ Kg1 g6 Rf2,2,hanging-piece,0,black,611,real,Solver is winning (611cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/rn2kb2/pp2p1p1/2pp1pr1/7p/B2PP3/2NQ3q/PPP2P1N/R4RK1_w_q_-_2_15,https://flawchess.com/analysis?game_id=475348&ply=28
0006,2168665,64,missed,7r/p7/6r1/3Npkq1/5N2/3Q1pP1/PPP2P2/2KR4 b - - 8 32,e5e4,d5e3 f5f6 d3c3 g5e5 d1d6 f6f7 d6d7 e5e7 d7e7 f7e7 c3c7 e7e8,Ne3+ Kf6 Qc3+ Qe5 [Rd6+] Kf7 Rd7+ Qe7 Rxe7+ Kxe7 Qc7+ Ke8,3,pin,4,white,M7,real,"Forced mate (M7) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/7r/p7/6r1/3Npkq1/5N2/3Q1pP1/PPP2P2/2KR4_b_-_-_8_32,https://flawchess.com/analysis?game_id=2168665&ply=63
0007,1405857,48,missed,4r2k/pp2Nqp1/7B/2Q5/3n4/7P/P1P3P1/R3R1K1 b - - 0 24,f7f6,c5h5 f6e7 h6g5 h8g8 g5e7 e8c8 h5d5 g8h7 d5d4 c8c6 d4h4 h7g6,Qh5 Qxe7 [Bg5+] Kg8 Bxe7 Rc8 Qd5+ Kh7 Qxd4 Rc6 Qh4+ Kg6,25,discovered-check,2,white,M8,real,"Forced mate (M8) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/4r2k/pp2Nqp1/7B/2Q5/3n4/7P/P1P3P1/R3R1K1_b_-_-_0_24,https://flawchess.com/analysis?game_id=1405857&ply=47
0008,1939841,75,missed,3q1k2/p2b3p/6p1/5pN1/2p2P1P/8/n2K4/1R6 w - - 0 38,b1b2,d7a4 d2e1 d8d1 e1f2 d1d4 f2f1 d4b2 h4h5 c4c3 g5e6 f8e7 e6d4,[Ba4+] Ke1 Qd1+ Kf2 Qd4+ Kf1 Qxb2 h5 c3 Ne6+ Ke7 Nd4,25,discovered-check,0,black,M10,real,"Forced mate (M10) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/3q1k2/p2b3p/6p1/5pN1/2p2P1P/8/n2K4/1R6_w_-_-_0_38,https://flawchess.com/analysis?game_id=1939841&ply=74
0009,1887731,50,missed,2r4r/1p2kp2/pq3n2/3PQ2P/8/1N6/PPP2p2/1K1R4 b - - 0 25,e7f8,d5d6 h8h5 e5f6 c8e8 f6f3 h5h6 f3f4 h6g6 f4h4 b6d6 h4h8 f8e7,d6 Rxh5 [Qxf6] Re8 Qf3 Rh6 Qf4 Rg6 Qh4 Qxd6 Qh8+ Ke7,13,interference,2,white,-403,incidental,Solver losing (-403cp) at the firing node; the interposing move does not rescue the position.,https://lichess.org/analysis/standard/2r4r/1p2kp2/pq3n2/3PQ2P/8/1N6/PPP2p2/1K1R4_b_-_-_0_25,https://flawchess.com/analysis?game_id=1887731&ply=49
0010,1227897,79,missed,8/8/2P1r1nR/1P4p1/3B1p2/P1K2k1P/8/8 w - - 0 40,c6c7,e6e1 h6g6 e1c1 c3d3 c1c7 g6g5 c7c8 b5b6 c8a8 d4c5 a8d8 d3c4,Re1 Rxg6 [Rc1+] Kd3 Rxc7 Rxg5 Rc8 b6 Ra8 Bc5 Rd8+ Kc4,17,sacrifice,2,black,-568,incidental,Solver (mover) is losing (-568cp) at the firing node; the 'missed' alternative was not actually good either.,https://lichess.org/analysis/standard/8/8/2P1r1nR/1P4p1/3B1p2/P1K2k1P/8/8_w_-_-_0_40,https://flawchess.com/analysis?game_id=1227897&ply=78
